연도,시간,위도,경도,진앙,규모,place
2013-09-15,오후 4:21:37,51.5751,-174.716,24.02,6.1,"77km SSW of Atka, Alaska"
2013-09-11,오후 12:44:13,-4.5472,-104.5783,10.52,6.1,Central East Pacific Rise
2013-09-07,오전 12:13:29,14.6056,-92.1207,66,6.4,"7km SSE of Ciudad Tecun Uman, Guatemala"
2013-09-05,오전 4:01:36,15.1836,-45.232,10,6,Northern Mid-Atlantic Ridge
2013-09-04,오전 6:27:03,51.573,-174.8537,17,6,"82km SSW of Atka, Alaska"
2013-09-04,오전 2:32:30,51.5573,-174.7671,20,6.5,"81km SSW of Atka, Alaska"
2013-09-04,오전 12:23:11,51.1832,-130.2245,9.92,6,"182km SW of Bella Bella, Canada"
2013-09-04,오전 12:18:23,29.9377,138.8325,402,6.5,"Izu Islands, Japan region"
2013-09-03,오후 8:19:06,51.244,-130.3971,2.73,6.1,"187km WSW of Bella Bella, Canada"
2013-09-01,오전 11:52:29,-7.44,128.2209,112,6.5,"Kepulauan Barat Daya, Indonesia"
2013-08-31,오전 6:38:36,51.2381,-174.9407,18,6,"118km SSW of Atka, Alaska"
2013-08-30,오후 4:25:02,51.537,-175.2297,29,7,"101km SW of Atka, Alaska"
2013-08-28,오전 2:54:41,-27.7829,179.6335,478,6.2,"292km NW of Raoul Island, New Zealand"
2013-08-21,오후 12:38:29,16.8784,-99.498,21,6.2,"18km WNW of San Marcos, Mexico"
2013-08-17,오후 4:32:31,-34.8853,54.0927,10,6.1,Southwest Indian Ridge
2013-08-16,오전 2:31:05,-41.734,174.152,8.2,6.5,"29km SE of Blenheim, New Zealand"
2013-08-13,오후 3:43:15,5.7732,-78.1999,12,6.7,"101km WSW of Mutis, Colombia"
2013-08-12,오전 9:49:32,-5.3962,-81.9268,10,6.2,"96km WSW of Paita, Peru"
2013-08-12,오전 4:16:47,-30.6285,-179.678,340.6,6.1,"116km NW of L'Esperance Rock, New Zealand"
2013-08-12,오전 12:53:43,-7.1354,129.8088,95,6,"189km WNW of Saumlaki, Indonesia"
2013-08-01,오후 8:01:43,-15.2443,-173.5006,31.65,6,"82km NNE of Hihifo, Tonga"
