연도,국가코드,산림손실면적(ha),산불산림손실면적(ha)
2001,PER,86007.339576,4890.0757179
2001,PHL,35165.042527,478.32247891
2001,PLW,52.112061119,2.05982917
2001,PNG,36004.982633,1185.6225421
2001,POL,19066.052382,232.19393544
2001,PRI,1252.3622311,14.128931102
2001,PRK,11944.804957,5481.2188342
2001,PRT,24404.852393,4291.2638065
2001,PRY,150236.62183,8500.7840522
2001,PSE,2.2193022776,0.13158768529
2001,REU,28.617214132,0
2001,ROU,17535.314027,464.68906504
2001,RUS,1826603.2421,1161207.1809
2001,RWA,1516.7663208,1.6917278254
2001,SDN,26.942953159,0.075585680028
2001,SEN,70.594274846,0
2001,SGP,43.453894671,0
2001,SLB,2187.1168246,29.808866894
2001,SLE,18596.425299,76.681787438
2001,SLV,9499.7652948,209.032585
2001,SOM,339.30394592,1.1494279149
2001,SRB,2379.5288889,164.4604079
2001,SSD,4906.1107619,38.715992021
2001,STP,77.221905019,0
2001,SUR,3689.0235955,272.53377641
2001,SVK,3897.3947047,92.490861239
2001,SVN,612.21469456,8.0246035223
2001,SWE,144927.30423,1843.892967
2001,SWZ,6734.9229008,44.107807855
2001,SXM,1.3182836766,0.43943189054
2001,SYC,0.37957476804,0
2001,SYR,267.42419135,53.284653862
2001,TCA,7.7272030496,0.21461248642
2001,TCD,883.62647993,0.60825405826
2001,TGO,2763.3284355,7.6247829459
2001,THA,36092.895131,269.92569348
2001,TJK,61.537727847,9.725745092
2001,TKM,46.21279329,4.1783979346
2001,TLS,677.50223116,43.329301398
2001,TTO,1829.0960351,71.824540035
2001,TUN,230.73261881,52.770445968
2001,TUR,22909.880246,2106.7251588
2001,TWN,1159.0681163,19.985928686
2001,TZA,82214.128631,510.32022992
2001,UGA,29658.716743,15.916050176
2001,UKR,28826.431368,1253.868654
2001,UMI,2.1197106802,0
2001,URY,7661.6609562,329.67483489
2001,USA,1943318.2427,308756.75743
2001,UZB,294.82090201,74.235511058
2001,VCT,6.8965457794,0.075027145122
2001,VEN,123901.09049,16567.465705
2001,VGB,4.0925011677,0.21925043535
2001,VIR,122.51337075,2.3475058861
2001,VNM,47456.830413,738.76826488
2001,VUT,124.33329791,1.3297221615
2001,XAD,3.2979785244,0.38122928831
2001,XKO,1122.0333977,110.4344109
2001,Z01,98.920958675,43.394938616
2001,Z06,26.468165546,8.7099775383
2001,Z07,5470.188323,112.1380273
2001,ZAF,77644.690225,2357.8115746
2001,ZMB,30104.095877,75.719849415
2001,ZNC,35.323166433,0.7564557052
2001,ZWE,8190.9811468,25.70660289
2002,ABW,0.52610773156,0.15031636328
2002,AFG,178.94785522,96.30441154
2002,AGO,61008.432029,626.01065016
2002,AIA,0.1463296508,0
2002,ALA,277.81987706,2.7737682096
2002,ALB,889.15554447,148.83209576
2002,AND,1.2550222235,0.056952716374
2002,ARG,104934.51761,7397.6598484
2002,ARM,172.53859118,35.57348758
2002,ATG,17.656041653,0.73458405833
2002,AUS,312150.30821,235574.48127
2002,AUT,10905.984166,216.79379932
2002,AZE,1154.2059429,91.166038781
2002,BDI,986.78251763,0.9980395327
2002,BEL,2348.3911061,59.77918097
2002,BEN,3478.737623,7.1753790768
2002,BES,2.1064574575,0
2002,BFA,4.3029108998,0
2002,BGD,3995.3589199,50.31124424
2002,BGR,4638.7388124,736.32157302
2002,BHS,700.97613652,220.89432758
2002,BIH,692.65885582,80.555692155
