연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계
2007,20,8,3,0,0,0,0,0,0,1,10,18,60
2008,9,11,4,0,0,0,0,0,0,0,5,2,31
2009,10,10,5,0,0,0,0,0,0,0,2,7,34
2010,1,4,2,0,0,0,0,0,0,3,6,7,23
2011,8,14,12,0,0,0,0,0,0,1,4,9,48
2012,11,6,2,1,0,0,0,0,0,1,12,13,46
2013,8,6,3,0,0,0,0,0,0,1,9,12,39
2014,16,11,3,0,0,0,0,0,0,1,2,4,37
2015,4,6,3,0,0,0,0,0,0,2,1,11,27
2016,8,8,0,0,0,0,0,0,0,1,5,6,28
2017,10,19,7,1,0,0,0,0,0,1,14,4,56
2018,5,6,2,1,0,0,0,0,0,2,13,9,38
2019,14,7,4,5,0,0,0,0,0,2,10,16,58
2020,13,9,10,2,0,0,0,0,0,4,15,20,73
2021,6,4,11,2,0,0,0,0,0,1,11,15,50
2022,27,21,12,5,0,0,0,0,0,3,5,12,85
2023,18,17,6,2,0,0,0,0,0,0,15,14,72
2024,18,16,10,0,0,0,0,0,0,0,8,21,73
2025,16,16,9,2,0,0,0,0,0,1,13,2,59
